zlower_cm,zupper_cm,dose,r.err,z_mm
0.84,0.85,0.21962482715437398,0.0045,8.45
0.85,0.86,0.21961178220146627,0.004,8.55
0.86,0.87,0.22014662527068277,0.0044,8.65
0.87,0.88,0.22199900858357902,0.0054,8.75
0.88,0.89,0.22239035717081063,0.005,8.85
0.89,0.9,0.22220772783010256,0.0049,8.95
0.9,0.91,0.22227295259464114,0.0044,9.05
0.91,0.92,0.22122935636202357,0.0036,9.15
0.92,0.93,0.22459495421221531,0.005,9.25
0.93,0.94,0.2240079313313679,0.0049,9.350000000000001
0.94,0.95,0.2236035377912286,0.0039,9.45
0.95,0.96,0.2254298311983094,0.0046,9.549999999999999
0.96,0.97,0.2269430457356049,0.0062,9.65
0.97,0.98,0.2256907302564638,0.0038,9.75
0.98,0.99,0.2264082026663884,0.0045,9.85
0.99,1.0,0.22747788880482142,0.005,9.95
1.0,1.01,0.227451798899006,0.0043,10.049999999999999
1.01,1.02,0.22904328315374783,0.0045,10.150000000000002
1.02,1.03,0.2296824858462261,0.0048,10.25
1.03,1.04,0.2296694408933184,0.0044,10.350000000000001
1.04,1.05,0.23101307104281354,0.0054,10.45
1.05,1.06,0.2308434866550132,0.0049,10.55
1.06,1.07,0.2296694408933184,0.0037,10.649999999999999
1.07,1.08,0.23113047561898303,0.005,10.750000000000002
1.08,1.09,0.23214798194578518,0.0052,10.85
1.09,1.1,0.23264369015627856,0.005,10.950000000000003
1.1,1.11,0.23367424143598844,0.0051,11.05
1.11,1.12,0.23375251115343476,0.0045,11.150000000000002
1.12,1.13,0.23308721855514103,0.0046,11.25
1.13,1.14,0.2333089827545723,0.0043,11.349999999999998
1.14,1.15,0.23504396149129902,0.0048,11.45
1.15,1.16,0.23479610738605233,0.0045,11.549999999999997
1.16,1.17,0.23576143390122364,0.005,11.65
1.17,1.18,0.23563098437214644,0.004,11.749999999999998
1.18,1.19,0.23754859244958126,0.0058,11.850000000000001
1.19,1.2,0.23717028881525737,0.0054,11.95
1.2,1.21,0.23683112003965667,0.0048,12.05
1.21,1.22,0.23775731169610478,0.0051,12.149999999999999
1.22,1.23,0.23838346943567537,0.0057,12.25
1.23,1.24,0.23818779514205957,0.0042,12.349999999999998
1.24,1.25,0.23904876203396905,0.004,12.450000000000001
1.25,1.26,0.23966187482063192,0.0044,12.549999999999999
1.26,1.27,0.24022280779566388,0.004,12.650000000000002
1.27,1.28,0.24120117926374288,0.0041,12.75
1.28,1.29,0.24437110282031882,0.0068,12.850000000000001
1.29,1.3,0.24314487724699313,0.0045,12.95
1.3,1.31,0.24388843956273318,0.0052,13.05
1.31,1.32,0.24533642933549013,0.0047,13.149999999999999
1.32,1.33,0.24495812570116623,0.004,13.250000000000002
1.33,1.34,0.24554514858201365,0.0047,13.35
1.34,1.35,0.24611912650995332,0.005,13.450000000000003
1.35,1.36,0.24730621722455584,0.0045,13.55
1.36,1.37,0.24818022906937307,0.0043,13.650000000000002
1.37,1.38,0.24708445302512458,0.0037,13.75
1.38,1.39,0.2489237913851131,0.0042,13.849999999999998
1.39,1.4,0.24941949959560647,0.0041,13.95
1.4,1.41,0.24905424091419032,0.0036,14.049999999999997
1.41,1.42,0.2504109160165932,0.0039,14.15
1.42,1.43,0.2535547496673537,0.0061,14.249999999999998
1.43,1.44,0.25286336716324453,0.0045,14.350000000000001
1.44,1.45,0.25341125518536883,0.0043,14.45
1.45,1.46,0.25369824414933867,0.0046,14.55
1.46,1.47,0.2538156487255081,0.0039,14.649999999999999
1.47,1.48,0.25414177254820114,0.0039,14.75
1.48,1.49,0.25523754859244957,0.0039,14.849999999999998
1.49,1.5,0.2573899658222234,0.0049,14.950000000000001
1.5,1.51,0.25703775209371493,0.0038,15.049999999999999
1.51,1.52,0.2581596180437789,0.0039,15.150000000000002
1.52,1.53,0.26027290041482953,0.005,15.25
1.53,1.54,0.2607946985311383,0.0051,15.350000000000001
1.54,1.55,0.259503248193274,0.0042,15.45
1.55,1.56,0.2599859114508597,0.0039,15.55
1.56,1.57,0.26028594536773725,0.0037,15.649999999999999
1.57,1.58,0.2604946646142608,0.0037,15.750000000000002
1.58,1.59,0.26250358736204965,0.0041,15.85
1.59,1.6,0.2647473192621775,0.0048,15.950000000000003
1.6,1.61,0.26473427430926977,0.0044,16.05
1.61,1.62,0.26511257794359366,0.004,16.150000000000002
1.62,1.63,0.26605181455294946,0.0039,16.25
1.63,1.64,0.2661300842703958,0.0039,16.349999999999998
1.64,1.65,0.2663779383756425,0.0036,16.45
1.65,1.66,0.2685825354170472,0.0045,16.549999999999997
1.66,1.67,0.26923478306243315,0.0041,16.65
1.67,1.68,0.2717655039265308,0.0045,16.75
1.68,1.69,0.272365571760286,0.0044,16.85
1.69,1.7,0.27235252680737826,0.0044,16.95
1.7,1.71,0.27416577526155134,0.0044,17.05
1.71,1.72,0.2755876751284928,0.0048,17.15
1.72,1.73,0.2751050118709072,0.004,17.25
1.73,1.74,0.2753398210232461,0.0036,17.349999999999998
1.74,1.75,0.2776618226408203,0.0043,17.450000000000003
1.75,1.76,0.27993164444676355,0.0052,17.549999999999997
1.76,1.77,0.27969683529442463,0.0043,17.650000000000002
1.77,1.78,0.2817448929009366,0.0049,17.75
1.78,1.79,0.28346682668475565,0.0055,17.85
1.79,1.8,0.28351900649638656,0.0043,17.95
1.8,1.81,0.2836755459312792,0.0038,18.05
1.81,1.82,0.2846408724464505,0.0038,18.15
1.82,1.83,0.285267030186021,0.0037,18.25
1.83,1.84,0.2874846721803334,0.0042,18.35
